Incident,County_Unit,Fire_Name,Start_Date,Controlled_Date,Origin_DPA_Agency,Total_Acres_Burned,Veg_Type,Cause,Structures_Destroyed,Structures_Damaged,Fire_Fatalities,Civil_Fatalities,Fatalities,interv,dur,days
VNC-41023,VENTURA,HILL,2018-11-08T00:00:00Z,2018-11-16T00:00:00Z,CC,4381,B,UNDETERMINED,4,2,0,0,0,2018-11-08 UTC--2018-11-16 UTC,691200s (~1.14 weeks),8
VNC-41028,VENTURA,WOOLSEY,2018-11-08T00:00:00Z,2018-11-22T00:00:00Z,CC,96949,BG,UNDETERMINED,1643,364,0,3,3,2018-11-08 UTC--2018-11-22 UTC,1209600s (~2 weeks),14
LAC-288255,LOS ANGELES,CHARLIE,2018-09-22T00:00:00Z,2018-09-30T00:00:00Z,CC,3380,BT,UNDETERMINED,0,0,0,0,0,2018-09-22 UTC--2018-09-30 UTC,691200s (~1.14 weeks),8
CNF-2664,ORANGE,HOLY,2018-08-06T00:00:00Z,2018-09-14T00:00:00Z,USFS,23025,BG,ARSON,24,18,0,0,0,2018-08-06 UTC--2018-09-14 UTC,3369600s (~5.57 weeks),39
CNF-2238,SAN DIEGO,WEST,2018-07-06T00:00:00Z,2018-07-10T00:00:00Z,USFS,505,BG,UNDETERMINED,48,14,0,0,0,2018-07-06 UTC--2018-07-10 UTC,345600s (~4 days),4
MCP-1837,SAN DIEGO,PENDLETON COMPLEX,2018-07-06T00:00:00Z,2018-07-10T00:00:00Z,MIL,1520,G,UNDETERMINED,0,0,0,0,0,2018-07-06 UTC--2018-07-10 UTC,345600s (~4 days),4
LAC-166129,LOS ANGELES,STONE,2018-06-04T00:00:00Z,2018-06-08T00:00:00Z,CC,1352,BG,HUMAN,0,0,0,0,0,2018-06-04 UTC--2018-06-08 UTC,345600s (~4 days),4
MVU-24612,SAN DIEGO,LILAC 5,2017-12-07T00:00:00Z,2017-12-16T00:00:00Z,CAL FIRE,4088,BG,UNDETERMINED,157,64,0,0,0,2017-12-07 UTC--2017-12-16 UTC,777600s (~1.29 weeks),9
LAC-362441,LOS ANGELES,RYE,2017-12-05T00:00:00Z,2017-12-15T00:00:00Z,CC,6049,BG,UNDETERMINED,6,3,0,0,0,2017-12-05 UTC--2017-12-15 UTC,864000s (~1.43 weeks),10
LAC-362189,LOS ANGELES,CREEK,2017-12-05T00:00:00Z,2017-12-29T00:00:00Z,CC,15619,B,UNDETERMINED,123,81,0,0,0,2017-12-05 UTC--2017-12-29 UTC,2073600s (~3.43 weeks),24
VNC-103156,VENTURA,THOMAS,2017-12-04T00:00:00Z,2018-01-12T00:00:00Z,CC,281893,BG,UNDETERMINED,16,274,1,1,2,2017-12-04 UTC--2018-01-12 UTC,3369600s (~5.57 weeks),39
MCP,SAN DIEGO,BUFFALO,2017-10-17T00:00:00Z,2017-10-19T00:00:00Z,DOD,1088,B,UNDETERMINED,0,0,0,0,0,2017-10-17 UTC--2017-10-19 UTC,172800s (~2 days),2
ORC-110494,ORANGE,CANYON 2,2017-10-09T00:00:00Z,2017-10-17T00:00:00Z,CC,9217,BG,MISCELLANEOUS,25,55,0,0,0,2017-10-09 UTC--2017-10-17 UTC,691200s (~1.14 weeks),8
ORC-1478,ORANGE,CANYON,2017-09-25T00:00:00Z,2017-10-03T00:00:00Z,CC,2662,BG,MISCELLANEOUS,0,7,0,0,0,2017-09-25 UTC--2017-10-03 UTC,691200s (~1.14 weeks),8
LFD-965,LOS ANGELES,LA TUNA,2017-09-01T00:00:00Z,2017-09-08T00:00:00Z,LOCAL,7194,BG,UNDETERMINED,5,0,0,0,0,2017-09-01 UTC--2017-09-08 UTC,604800s (~1 weeks),7
LPF-1770,SANTA BARBARA,WHITTIER,2017-07-08T00:00:00Z,2017-10-05T00:00:00Z,USFS,18430,B,UNDETERMINED,4,7,0,0,0,2017-07-08 UTC--2017-10-05 UTC,7689600s (~12.71 weeks),89
MCP-172047,SAN DIEGO,CRISTIANITOS,2017-06-28T00:00:00Z,2017-07-01T00:00:00Z,DOD,761,BG,UNDETERMINED,0,0,0,0,0,2017-06-28 UTC--2017-07-01 UTC,259200s (~3 days),3
LAC-187296,LOS ANGELES,PLACERITA,2017-06-25T00:00:00Z,2017-06-28T00:00:00Z,CC,760,BG,DEBRIS BURNING,1,1,0,0,0,2017-06-25 UTC--2017-06-28 UTC,259200s (~3 days),3
LAC-178275,LOS ANGELES,LAKE,2017-06-17T00:00:00Z,2017-06-23T00:00:00Z,CC,850,BG,UNDETERMINED,0,2,0,0,0,2017-06-17 UTC--2017-06-23 UTC,518400s (~6 days),6
MVU-12098,SAN DIEGO,GATE,2017-05-20T00:00:00Z,2017-05-22T00:00:00Z,CAL FIRE,2056,BG,UNDETERMINED,0,0,0,0,0,2017-05-20 UTC--2017-05-22 UTC,172800s (~2 days),2
AFV-3151,SANTA BARBARA,CANYON,2016-09-17T00:00:00Z,2016-09-24T00:00:00Z,MIL,12742,B,UNDETERMINED,0,0,1,0,1,2016-09-17 UTC--2016-09-24 UTC,604800s (~1 weeks),7
LPF-2809,SANTA BARBARA,REY,2016-08-18T00:00:00Z,2016-09-15T00:00:00Z,USFS,32606,BG,UNDETERMINED,5,0,0,0,0,2016-08-18 UTC--2016-09-15 UTC,2419200s (~4 weeks),28
ANF-3008,LOS ANGELES,SAND,2016-07-22T00:00:00Z,2016-08-06T00:00:00Z,USFS,41383,BGT,UNDETERMINED,116,2,0,1,1,2016-07-22 UTC--2016-08-06 UTC,1296000s (~2.14 weeks),15
MCP-2125,SAN DIEGO,ROBLAR,2016-07-21T00:00:00Z,2016-07-27T00:00:00Z,MIL,1245,BG,UNDETERMINED,0,0,0,0,0,2016-07-21 UTC--2016-07-27 UTC,518400s (~6 days),6
LAC-198015,LOS ANGELES,SAGE,2016-07-09T00:00:00Z,2016-07-16T00:00:00Z,CC,1100,BGT,CAMPFIRE,0,2,0,0,0,2016-07-09 UTC--2016-07-16 UTC,604800s (~1 weeks),7
LPF-1986,VENTURA,PINE,2016-06-30T00:00:00Z,2016-07-17T00:00:00Z,USFS,2304,BT,UNDETERMINED,0,0,0,0,0,2016-06-30 UTC--2016-07-17 UTC,1468800s (~2.43 weeks),17
ANF-2417,LOS ANGELES,RESERVOIR,2016-06-20T00:00:00Z,2016-07-05T00:00:00Z,USFS,1146,BG,HUMAN,0,0,0,1,1,2016-06-20 UTC--2016-07-05 UTC,1296000s (~2.14 weeks),15
LAC-177288,LOS ANGELES,FISH,2016-06-20T00:00:00Z,2016-07-05T00:00:00Z,USFS,4253,BG,HUMAN,0,0,0,0,0,2016-06-20 UTC--2016-07-05 UTC,1296000s (~2.14 weeks),15
MVU-14498,SAN DIEGO,BORDER 3,2016-06-19T00:00:00Z,2016-07-01T00:00:00Z,CAL FIRE,7609,BG,UNDETERMINED,16,3,0,2,2,2016-06-19 UTC--2016-07-01 UTC,1036800s (~1.71 weeks),12
SBC-7344,SANTA BARBARA,SHERPA,2016-06-15T00:00:00Z,2016-06-23T00:00:00Z,USFS,7474,BG,UNDETERMINED,5,0,0,0,0,2016-06-15 UTC--2016-06-23 UTC,691200s (~1.14 weeks),8
VNC-89187,VENTURA,SOLIMAR,2015-12-25T00:00:00Z,2015-12-28T00:00:00Z,VNC,1288,B,UNDETERMINED,0,0,0,0,0,2015-12-25 UTC--2015-12-28 UTC,259200s (~3 days),3
ANF-3611,LOS ANGELES,CABIN,2015-08-14T00:00:00Z,2015-08-20T00:00:00Z,USFS,1723,B,UNDETERMINED,3,0,0,0,0,2015-08-14 UTC--2015-08-20 UTC,518400s (~6 days),6
MCP-2459,SAN DIEGO,HORNO,2015-08-13T00:00:00Z,2015-08-17T00:00:00Z,DOD,1846,B,HUMAN,0,0,0,0,0,2015-08-13 UTC--2015-08-17 UTC,345600s (~4 days),4
MCP-1212,SAN DIEGO,GRENADE,2015-04-29T00:00:00Z,2015-05-05T00:00:00Z,DOD,2025,B,UNDETERMINED,0,0,0,0,0,2015-04-29 UTC--2015-05-05 UTC,518400s (~6 days),6
MCP-1210,SAN DIEGO,MORTAR,2015-04-28T00:00:00Z,2015-04-29T00:00:00Z,DOD,800,B,UNDETERMINED,0,0,0,0,0,2015-04-28 UTC--2015-04-29 UTC,86400s (~1 days),1
MCP-1207,SAN DIEGO,CARL,2015-04-28T00:00:00Z,2015-04-29T00:00:00Z,DOD,4000,B,UNDETERMINED,0,0,0,0,0,2015-04-28 UTC--2015-04-29 UTC,86400s (~1 days),1
CNF-2873,ORANGE,SILVERADO,2014-09-12T00:00:00Z,2014-09-20T00:00:00Z,USFS,985,B,UNDETERMINED,0,0,0,0,0,2014-09-12 UTC--2014-09-20 UTC,691200s (~1.14 weeks),8
MCP-1363,SAN DIEGO,BASILONE COMPLEX,2014-05-17T00:00:00Z,2014-05-19T00:00:00Z,MIL,21240,BG,UNDETERMINED,0,1,0,0,0,2014-05-17 UTC--2014-05-19 UTC,172800s (~2 days),2
CBD-3777,SAN DIEGO,POINSETTIA,2014-05-14T00:00:00Z,2014-05-17T00:00:00Z,LOCAL,600,B,UNDETERMINED,28,0,0,0,0,2014-05-14 UTC--2014-05-17 UTC,259200s (~3 days),3
MVU-10242,SAN DIEGO,SAN DIEGO COMPLEX,2014-05-14T00:00:00Z,2014-05-22T00:00:00Z,CAL FIRE,2438,B,UNDETERMINED,48,5,0,0,0,2014-05-14 UTC--2014-05-22 UTC,691200s (~1.14 weeks),8
SBC-5573,SANTA BARBARA,MIGUELITO,2014-05-13T00:00:00Z,2014-05-16T00:00:00Z,LOCAL,632,B,UNDETERMINED,0,0,0,0,0,2014-05-13 UTC--2014-05-16 UTC,259200s (~3 days),3
MVU-10055,SAN DIEGO,BERNARDO,2014-05-13T00:00:00Z,2014-05-21T00:00:00Z,LOCAL,1548,BG,EQUIPMENT USE,0,0,0,0,0,2014-05-13 UTC--2014-05-21 UTC,691200s (~1.14 weeks),8
ANF-231,LOS ANGELES,COLBY,2014-01-16T00:00:00Z,2014-01-24T00:00:00Z,USFS,1952,BG,UNDETERMINED,15,8,0,0,0,2014-01-16 UTC--2014-01-24 UTC,691200s (~1.14 weeks),8
